TransactionID,AssetID,TransactionDate,Quantity,TransactionType,Price
1,1,2023-09-01,10.00,BUY,189.46
2,2,2023-09-05,20.00,BUY,256.49
12,1,2023-09-15,5.00,SELL,175.01
13,2,2023-09-25,5.00,SELL,246.99
3,9,2023-11-10,50.00,BUY,179.51
4,9,2023-11-10,50.00,BUY,179.51
5,4,2023-11-27,35.00,BUY,136.41
6,3,2023-12-11,15.00,BUY,371.30
7,6,2023-12-15,10.00,BUY,405.34
8,5,2023-12-20,100.00,BUY,468.26
9,7,2024-01-16,20.00,BUY,439.90
14,7,2024-02-12,12.00,SELL,463.82
15,3,2024-03-04,7.00,SELL,414.92
16,4,2024-03-18,25.00,SELL,147.68
17,5,2024-04-22,35.00,SELL,499.72
10,8,2024-05-06,15.00,BUY,96.26
11,6,2024-05-10,25.00,BUY,442.06
18,6,2024-06-03,10.00,SELL,453.13
19,8,2024-06-21,7.00,SELL,97.76
20,9,2024-06-26,3.00,SELL,212.58
